Stock,Price,Volume,Value
TSLA,2199.7372735020726,45149,99315938.16134508
META,2753.174670506125,5602,15423284.504175313
AAPL,2049.712704980007,99497,203940265.00739574
AMZN,620.4431551098545,54160,33603201.28074972
AMZN,1318.2297944291258,90032,118682864.85204306
AMZN,892.3362411716477,28612,25531524.532403182
MSFT,295.5719324608591,90380,26713791.255812448
AMZN,2494.7775276626744,96231,240074936.26450682
META,1096.2383894395325,80329,88059733.58528821
GOOGL,1601.2207432546884,21101,33787358.90341718
TSLA,1772.4111123827536,6725,11919464.730774017
AAPL,2770.172457366023,82862,229542030.1622634
AAPL,390.8890683575792,8125,3175973.6804053313
TSLA,2920.016308507679,19920,58166724.865472965
GOOGL,1393.4573094966906,29814,41544536.22533433
MSFT,1606.632336297543,9374,15060571.520453168
AAPL,2975.251812007636,82954,246809038.81328145
MSFT,609.6967213354842,45972,28028977.67323488
META,2232.304813942625,85655,191208068.83825555
MSFT,2080.872815548164,23176,48226308.37314425
META,750.0694862663186,3779,2834512.588600418
AAPL,2902.1496880178006,74868,217278142.8425167
MSFT,206.0901735014384,42535,8766045.52988368
TSLA,2015.7466091691003,20919,42167403.31720841
AMZN,2633.2917416332293,51251,134958835.05044463
AAPL,1261.018044695477,76259,96163975.0704324
AMZN,1385.407863137506,2440,3380395.1860555145
META,290.6639111678832,56105,16307698.736074088
AAPL,863.5415718156651,59702,51555158.920538835
GOOGL,2178.143064337389,45841,99848256.21229026
AMZN,2948.668764072259,65315,192592300.32537958
AAPL,1100.5626199380158,72931,80265132.43469943
MSFT,529.5774202433004,33741,17868471.736429196
AMZN,369.3958651352895,74217,27415452.922745783
META,623.071935086588,95227,59333271.16249052
AMZN,422.0168337366177,33139,13985215.853197774
AMZN,2506.539358148306,6764,16954232.21851514
AAPL,1211.9219700134224,71409,86542135.95668848
MSFT,1254.018765926959,87811,110116641.8548122
MSFT,2546.606279975495,65335,166382521.30219898
MSFT,2251.9098472932933,46761,105301556.3692817
AAPL,1628.1328833256937,35376,57596828.88052974
GOOGL,1549.9696890279256,42702,66186805.66087048
TSLA,2120.132188535178,92860,196875475.02737665
AMZN,1803.3447798479049,39651,71504423.86574927
AMZN,646.6222017366972,69864,45175613.50213262
GOOGL,464.7309573464176,70911,32954536.91639182
TSLA,1276.9360397770538,91449,116774523.9015718
GOOGL,1532.8354494955404,18009,27604833.609965187
AAPL,338.39424566340114,18608,6296840.123304568
AAPL,1653.423373999451,36849,60926997.908505775
TSLA,2906.3666531566973,63811,185458162.50458202
META,2124.784624361632,10586,22492970.033492234
META,513.4536749128458,79002,40563867.22546465
AAPL,1751.7773479291673,74638,130749157.69473718
TSLA,2432.822133629172,90375,219866300.32673645
MSFT,1096.615827769971,15727,17246477.123338334
TSLA,1343.9068182230883,38885,52257816.62660479
MSFT,106.54513393419931,69845,7441644.879634151
GOOGL,2621.694475260454,60519,158662327.94828743
GOOGL,1463.5311645590032,9126,13356185.407765463
AAPL,835.2851164481067,60955,50914804.27309434
MSFT,673.0608303568379,28051,18880029.35233966
MSFT,1338.8343007837395,91029,121872747.56604302
MSFT,747.999113688198,57281,42846137.23117367
MSFT,2700.6583392741027,7704,20805871.845767688
AMZN,757.5468877095379,68045,51547277.97419551
AMZN,1267.0601065981202,98998,125436416.43300071
GOOGL,508.27257782092863,14093,7163085.439230347
AMZN,444.6994587096543,81304,36155844.790929735
AAPL,789.4205784794859,96448,76138035.95318946
AMZN,108.61961003311954,65963,7164875.336614665
META,1836.0381495135232,99794,183225591.09255254
TSLA,744.6174848858815,47635,35469853.892538965
MSFT,1351.294202406634,47778,64562134.40258416
GOOGL,2445.023846177957,82488,201685127.0235273
TSLA,1305.7677235336682,82542,107780679.43591604
AMZN,2318.7919238138184,47660,110513623.08896658
TSLA,2165.1144227217837,43654,94515905.00949675
TSLA,2598.730111166888,45540,118346169.26254009
TSLA,1250.048622320194,32063,40080308.97745238
AMZN,2253.9401823904795,27294,61519043.338165745
TSLA,1733.1002397621862,99681,172757164.9997345
TSLA,1610.4713975173202,10916,17579905.77529907
TSLA,880.3663286770872,92329,81283342.76042677
AAPL,1574.686822943509,44378,69881451.82858704
TSLA,258.47611169824506,2832,732004.34832943
AMZN,434.8210438599416,11631,5057403.561134981
GOOGL,1484.8035484541565,50481,74954367.92951427
META,966.1156678048025,86886,83941925.91288806
META,2719.6705477421497,55258,150283555.1271357
META,2866.071552417197,64725,185506481.23020306
AAPL,2648.351374922286,7024,18602020.05745414
MSFT,219.73827972364077,69892,15357947.846444702
META,2476.088016763625,68088,168591880.8854017
MSFT,1434.561657744729,96764,138813924.25001097
AMZN,236.08022665504163,35211,8312620.860750671
AAPL,442.1706179230896,55075,24352546.78211416
META,2403.965028782955,74210,178398244.7859831
AAPL,1503.4789453381266,25040,37647112.79126669
MSFT,1810.910263648365,79057,143165132.7132488
GOOGL,158.99586814268343,13751,2186352.18283004
TSLA,207.5293740432945,18006,3736773.9090235606
GOOGL,1342.026719514898,7499,10063858.36964222
AAPL,1564.0555743908412,11145,17431399.376585927
META,560.845016837967,6452,3618572.048638563
AMZN,1177.5833954496302,78666,92635775.3864406
GOOGL,110.47515840132002,40301,4452259.358731598
GOOGL,486.7055173416807,6023,2931427.330948943
META,172.48328204211566,99263,17121208.025346525
AAPL,2652.8213271051686,54298,144042892.41915643
META,277.999972185061,72756,20226165.9762963
MSFT,1725.6446640406484,65192,112498226.93813795
AAPL,1797.0781119781686,7170,12885050.062883468
GOOGL,112.78813239264336,65599,7398788.696825012
GOOGL,1875.5705245727304,14326,26869423.335028935
AMZN,2559.034683289089,45623,116750839.35569811
GOOGL,1773.635681157068,99888,177164920.9194172
AMZN,638.3353317512667,72843,46498260.57075752
GOOGL,1696.856327038129,73573,124842810.54917626
MSFT,2123.5712922184744,99583,211471599.99299234
GOOGL,2083.909774597952,85683,178555641.21687633
AMZN,1875.1426026918052,19539,36638411.31399518
AMZN,1209.4712593645738,51053,61747136.204339586
AMZN,452.10187928954986,32490,14688790.058117475
GOOGL,307.04468398422284,63644,19541551.86749188
AMZN,1873.3679432983072,94457,176952715.8201282
TSLA,1151.324319686671,88268,101625095.05010308
MSFT,105.9645939416203,8111,859478.8214604822
GOOGL,533.3133828215425,23625,12599528.669158941
AMZN,2124.121071548969,52871,112304405.17386556
MSFT,2298.54538732741,47620,109456731.34453127
GOOGL,1790.1651977092838,30579,54741461.58075219
MSFT,1854.599838477825,76387,141667317.86180562
TSLA,893.8923159288462,9055,8094194.920735702
GOOGL,1516.808139153765,94931,143992113.45800608
AMZN,2820.1625232398696,10076,28415957.584164925
AAPL,1215.8833477844005,44675,54319588.56226809
AMZN,1868.9277004276164,3135,5859088.340840577
GOOGL,1159.3368697570158,15831,18353461.985123318
AMZN,1404.556291757615,32956,46288557.151163965
AAPL,2370.2668392537485,52646,124785068.01935284
AAPL,1236.8895336321798,94692,117123543.71869837
AAPL,1368.7177284653214,79435,108724092.76064281
AMZN,932.6421992605,71906,67062569.980025515
GOOGL,2484.537525248609,81608,202758138.3604885
AMZN,978.9542525953494,25956,25409736.58036489
AAPL,2219.7369003139106,16619,36889807.54631688
TSLA,2789.989824177544,86153,240365993.32236797
AAPL,2329.11020042375,34254,79781340.80531514
META,2622.019722345366,89039,233462014.05790904
AAPL,511.0378696148912,23843,12184675.92522785
META,1267.4475578530614,64550,81813739.85941511
GOOGL,174.3417431322733,71172,12408250.542210156
AMZN,1615.5898224756793,29787,48123574.04208306
GOOGL,2996.303651442389,51905,155523141.02811718
AMZN,1661.63044400216,44194,73434095.84223145
META,2598.857232561238,32258,83833936.60796042
AAPL,2970.4718658382467,65987,196012527.01106837
AAPL,1061.131273488133,47146,50028095.01987152
AAPL,1341.6176648336248,86651,116252512.27549842
AMZN,1685.624005094037,83649,141000762.4021111
AAPL,2217.7933222503084,44995,99789610.53465262
GOOGL,1578.3388967519236,19956,31497331.023581386
GOOGL,635.7980919590074,74199,47175582.62526639
AAPL,1556.5974755650398,37733,58735092.545495644
TSLA,2191.514066119651,7059,15469897.792738616
AMZN,2283.979514276612,26924,61493864.442383505
TSLA,1314.9032417916735,55277,72683906.49651834
META,1863.7900212711436,67102,125064038.00733627
AAPL,2980.330372124677,67964,202555173.41108155
TSLA,1081.8146529697565,11045,11948642.84205096
AMZN,421.42950996984297,39555,16669644.266857138
META,509.22766452593777,65899,33557593.86459477
AMZN,2442.459248153227,97448,238012768.81403565
TSLA,1951.9458225755716,46154,90090107.49515294
META,1163.1674037924258,60761,70675214.62183158
MSFT,253.36782095006475,27057,6855373.131445902
META,383.43339261631934,21414,8210842.669485862
AMZN,1780.6221225388242,47883,85261529.09352653
AAPL,1753.6612533608843,57749,101272183.7203377
AAPL,1720.992266141381,76617,131857264.45495418
AAPL,2077.026233866046,28098,58360283.119168155
META,2575.444163132539,54196,139578771.86513108
META,1670.8207062209804,56832,94956082.37595075
MSFT,1461.9355769625906,22655,33120150.49608749
AAPL,2676.780069856731,12105,32402422.745615732
TSLA,2388.258757288551,83846,200245943.76361585
MSFT,1575.619712130096,44144,69554156.57227096
META,327.5525629350749,86692,28396186.785967514
META,948.2407694148022,94671,89770901.88126874
AMZN,2590.62984483358,25735,66669859.056792185
MSFT,1892.713942948946,36268,68644949.28287238
AAPL,251.27795456212732,66467,16701691.805880917
AAPL,2274.5657956674413,50035,113807899.58622043
TSLA,1457.9320985886898,95941,139875463.4706975
AMZN,139.73167792398277,64377,8995506.229712239
AMZN,1997.4679374050609,49233,98341338.96226336
MSFT,639.2877041403838,50604,32350514.98031998
META,357.9797963730366,78314,28034829.773157988
META,863.642545074219,64884,56036582.89459562
AAPL,767.343420362453,50798,38979511.067571886
AAPL,2216.051050941952,3957,8768914.008577304
MSFT,2559.221986559317,50523,129299572.42693637
GOOGL,1648.4153208879625,45462,74940257.31820855
AAPL,1084.7426835606766,60342,65455543.01141835
AMZN,2286.8820293273225,99567,227697983.01403353
META,2309.8734880373104,58837,135906026.41565123
MSFT,909.4262043574744,84507,76852880.25163709
MSFT,206.82486546589973,14419,2982207.7351528085
TSLA,2579.8066356586573,98862,255044843.6144862
AAPL,349.6859999894082,39978,13979746.90757656
META,1382.8389123802772,81792,113105160.32140763
AAPL,1349.5367302564275,66282,89449993.55485652
AMZN,1201.4336343102557,76359,91740270.88229682
GOOGL,1179.6729385087103,47474,56003793.08276252
AMZN,2445.378142805092,56045,137051218.0135114
GOOGL,261.25988710362776,34886,9114312.421497159
TSLA,2543.487353804693,36849,93724965.50034913
AMZN,2634.547868684587,5863,15446354.154097732
META,2296.091045072621,96026,220484438.6941435
META,1942.8887699776665,10334,20077812.548949204
AMZN,2150.025852709201,26837,57700243.80915683
AAPL,2046.3305318252344,44850,91777924.35236177
AMZN,2122.622190321961,61336,130193154.66558781
AAPL,1740.2916242319418,50114,87212974.45675953
TSLA,1057.9425402678448,57001,60303782.73780742
GOOGL,2925.4508453469425,14564,42606266.11163287
AMZN,1808.084521956746,82314,148830669.3403476
META,912.0277247747426,25444,23205633.429168552
META,1929.851447940773,53136,102544586.53778091
TSLA,2220.789026946461,98474,218689978.6395258
AAPL,2751.3396653895484,16667,45856578.2030476
GOOGL,2453.5255485897374,88744,217735671.28404766
AMZN,1890.1271319022392,5051,9547032.14323821
AMZN,2654.9999842549187,22931,60881804.63894954
MSFT,2009.8393076445943,94288,189503728.6391935
META,514.412244346573,64470,33164157.393023558
AMZN,973.049369762846,38523,37484780.871374115
TSLA,528.6638338122059,28846,15249836.950146891
META,404.6903812916341,71516,28941837.308452502
META,1843.137363104555,86706,159811068.20534354
AMZN,653.5336244349256,34249,22382873.103271767
AMZN,2786.1385053569225,63796,177744492.08775023
MSFT,1798.596920556629,74602,134178927.46736562
MSFT,836.3936102148721,18735,15669834.287375629
MSFT,1716.0223224628576,76080,130554978.2929742
AMZN,2153.549636267771,88027,189570513.83174306
GOOGL,1458.3696534209923,12011,17516477.907239538
GOOGL,2724.945523312757,46568,126895263.12962846
TSLA,1755.2703902261894,19640,34473510.46404236
AMZN,1734.5050722966098,80634,139860081.99956483
MSFT,709.9422431258878,16643,11815568.75234415
GOOGL,353.38228308318475,72892,25758741.378499504
AMZN,2324.623025625239,48098,111809718.28652273
META,1626.3104816420482,60245,97977074.9665252
META,1336.8555008850794,95260,127348855.01431267
META,2366.63926773111,97195,230025503.62712523
MSFT,1264.199676494493,51661,65309819.487381995
TSLA,1804.434822336852,85307,153930921.38908982
GOOGL,429.9084409253592,70970,30510602.05247274
GOOGL,2961.162043361948,60888,180299234.4962223
AAPL,576.6545282246312,50989,29403037.739645723
MSFT,590.2700223212518,36314,21435065.590573937
META,1377.229022029862,13391,18442473.834001884
AAPL,849.9353222292181,26378,22419593.929762315
TSLA,1925.788151668584,59154,113918072.32380342
AAPL,137.58117947607116,86529,11904761.878884962
AMZN,1634.595152650085,13130,21462234.35429562
GOOGL,2463.3997479361083,85187,209849634.32743326
META,2854.106725050041,68048,194216254.4262052
META,2245.695887546687,24806,55706732.18648312
AAPL,642.9898295082655,61991,39859582.52104689
AAPL,2039.7085450122856,85518,174431795.35236064
META,2068.707529380896,97921,202569909.98450673
MSFT,1525.185803898719,83125,126781069.94908102
MSFT,2313.3225256228384,40214,93027952.04539682
AAPL,2342.6787622771867,47175,110515870.61042628
AMZN,2144.848978619947,78361,168072510.81363767
AAPL,845.9079824891461,55091,46601916.663309544
AMZN,2786.7975389481444,70363,196087435.2330083
AAPL,233.7308706804797,68917,16108030.41468662
TSLA,2916.0025778070103,14630,42661117.71331656
TSLA,1642.2069103915264,99855,163982571.03714588
AAPL,1992.8694280831503,45674,91022318.2582698
MSFT,2511.943424851279,28267,71005104.7902711
AMZN,571.3903383700701,71684,40959545.01572011
TSLA,2699.976124916774,63937,172628373.4988038
AMZN,127.48278802963384,23981,3057164.739738649
GOOGL,2796.343631385663,41205,115223339.33124624
META,1293.0812235838555,22042,28502096.330235343
MSFT,2986.7574304245286,1864,5567315.850311321
MSFT,769.2497298921231,14875,11442589.732145332
GOOGL,2031.3502186310516,11965,24305105.365920532
MSFT,2562.6226097844287,52026,133323003.8966447
META,164.85724240093612,16452,2712231.351980201
TSLA,169.6746527656209,52241,8863973.5351288
META,196.06925566491265,11646,2283422.551473573
GOOGL,117.29819610045632,70499,8269405.52688607
META,719.2749303223943,13493,9705176.634840066
META,2432.4561029530755,52244,127081236.64268048
TSLA,739.2003268718012,6666,4927509.378927426
TSLA,1130.31096773104,73261,82807711.80694371
META,235.0667342056124,84455,19852561.037334993
META,987.8723432069194,13783,13615844.50642097
GOOGL,331.45593998712195,45060,14935404.655819716
AMZN,925.551036505849,90619,83872509.37712353
META,1768.2977312523376,18045,31908932.56044843
AMZN,862.0530035063349,30483,26277961.705883607
MSFT,1913.635560434397,10150,19423400.938409127
GOOGL,1994.6388968461,67576,134789718.09327206
TSLA,1774.5809190487353,73475,130387333.02710582
AMZN,1396.9963887991753,83728,116967713.64137734
AMZN,860.5756099897894,16315,14040291.076983415
MSFT,526.547368653429,35266,18569219.502931826
MSFT,1436.7079040071935,9395,13497870.758147582
META,1884.0767462732977,34965,65876743.433445856
META,432.58799493865024,13140,5684206.253493864
MSFT,723.5240343969751,86166,62343171.94784976
MSFT,619.3942361763338,93207,57731878.57128755
GOOGL,767.8896247511062,95841,73595309.52577077
AAPL,438.124809986041,94812,41539489.48439652
AMZN,1320.6391000325752,23374,30868618.324161414
MSFT,1030.06659838722,97521,100453124.74132007
TSLA,1866.0661509947129,98643,184074363.33257145
